case:concept:name,concept:name,org:resource,time:timestamp,lifecycle:transition
0,A_SUBMITTED,112,2021-01-01 01:00:00,COMPLETE
0,A_PARTLYSUBMITTED,112,2021-01-01 01:00:00,COMPLETE
1,A_SUBMITTED,112,2021-01-01 01:21:00,COMPLETE
1,A_PARTLYSUBMITTED,112,2021-01-01 01:21:00,COMPLETE
2,A_SUBMITTED,112,2021-01-01 01:41:33,COMPLETE
2,A_PARTLYSUBMITTED,112,2021-01-01 01:41:33,COMPLETE
3,A_SUBMITTED,112,2021-01-01 02:03:20,COMPLETE
3,A_PARTLYSUBMITTED,112,2021-01-01 02:03:20,COMPLETE
4,A_SUBMITTED,112,2021-01-01 02:23:28,COMPLETE
4,A_PARTLYSUBMITTED,112,2021-01-01 02:23:28,COMPLETE
0,A_DECLINED,112,2021-01-01 02:36:48,COMPLETE
5,A_SUBMITTED,112,2021-01-01 02:43:04,COMPLETE
5,A_PARTLYSUBMITTED,112,2021-01-01 02:43:04,COMPLETE
1,A_PREACCEPTED,112,2021-01-01 02:54:27,COMPLETE
6,A_SUBMITTED,112,2021-01-01 03:04:15,COMPLETE
6,A_PARTLYSUBMITTED,112,2021-01-01 03:04:15,COMPLETE
7,A_SUBMITTED,112,2021-01-01 03:25:29,COMPLETE
7,A_PARTLYSUBMITTED,112,2021-01-01 03:25:29,COMPLETE
2,A_PREACCEPTED,112,2021-01-01 03:28:26,COMPLETE
8,A_SUBMITTED,112,2021-01-01 03:45:58,COMPLETE
8,A_PARTLYSUBMITTED,112,2021-01-01 03:45:58,COMPLETE
9,A_SUBMITTED,112,2021-01-01 04:06:30,COMPLETE
9,A_PARTLYSUBMITTED,112,2021-01-01 04:06:30,COMPLETE
10,A_SUBMITTED,112,2021-01-01 04:27:19,COMPLETE
10,A_PARTLYSUBMITTED,112,2021-01-01 04:27:19,COMPLETE
6,A_DECLINED,112,2021-01-01 04:45:27,COMPLETE
11,A_SUBMITTED,112,2021-01-01 04:48:19,COMPLETE
11,A_PARTLYSUBMITTED,112,2021-01-01 04:48:19,COMPLETE
5,A_DECLINED,112,2021-01-01 04:49:47,COMPLETE
3,A_PREACCEPTED,112,2021-01-01 05:08:51,COMPLETE
12,A_SUBMITTED,112,2021-01-01 05:08:54,COMPLETE
12,A_PARTLYSUBMITTED,112,2021-01-01 05:08:54,COMPLETE
8,A_DECLINED,112,2021-01-01 05:22:20,COMPLETE
4,A_DECLINED,112,2021-01-01 05:24:42,COMPLETE
13,A_SUBMITTED,112,2021-01-01 05:29:38,COMPLETE
13,A_PARTLYSUBMITTED,112,2021-01-01 05:29:38,COMPLETE
10,A_DECLINED,112,2021-01-01 05:37:23,COMPLETE
7,A_PREACCEPTED,11203,2021-01-01 05:51:19,COMPLETE
14,A_SUBMITTED,112,2021-01-01 05:51:28,COMPLETE
14,A_PARTLYSUBMITTED,112,2021-01-01 05:51:28,COMPLETE
15,A_SUBMITTED,112,2021-01-01 06:12:11,COMPLETE
15,A_PARTLYSUBMITTED,112,2021-01-01 06:12:11,COMPLETE
16,A_SUBMITTED,112,2021-01-01 06:33:22,COMPLETE
16,A_PARTLYSUBMITTED,112,2021-01-01 06:33:22,COMPLETE
17,A_SUBMITTED,112,2021-01-01 06:54:03,COMPLETE
17,A_PARTLYSUBMITTED,112,2021-01-01 06:54:03,COMPLETE
9,A_PREACCEPTED,112,2021-01-01 06:55:37,COMPLETE
13,A_PREACCEPTED,10910,2021-01-01 07:13:32,COMPLETE
18,A_SUBMITTED,112,2021-01-01 07:14:49,COMPLETE
18,A_PARTLYSUBMITTED,112,2021-01-01 07:14:49,COMPLETE
12,A_DECLINED,112,2021-01-01 07:21:39,COMPLETE
19,A_SUBMITTED,112,2021-01-01 07:35:20,COMPLETE
19,A_PARTLYSUBMITTED,112,2021-01-01 07:35:20,COMPLETE
20,A_SUBMITTED,112,2021-01-01 07:56:11,COMPLETE
20,A_PARTLYSUBMITTED,112,2021-01-01 07:56:11,COMPLETE
15,A_ACCEPTED,10909,2021-01-01 07:58:10,COMPLETE
21,A_SUBMITTED,112,2021-01-01 08:17:15,COMPLETE
21,A_PARTLYSUBMITTED,112,2021-01-01 08:17:15,COMPLETE
22,A_SUBMITTED,112,2021-01-01 08:37:47,COMPLETE
22,A_PARTLYSUBMITTED,112,2021-01-01 08:37:47,COMPLETE
16,A_DECLINED,112,2021-01-01 08:40:21,COMPLETE
14,A_DECLINED,112,2021-01-01 08:45:25,COMPLETE
18,A_DECLINED,112,2021-01-01 08:57:56,COMPLETE
23,A_SUBMITTED,112,2021-01-01 08:58:09,COMPLETE
23,A_PARTLYSUBMITTED,112,2021-01-01 08:58:09,COMPLETE
20,A_PREACCEPTED,112,2021-01-01 09:18:50,COMPLETE
24,A_SUBMITTED,112,2021-01-01 09:19:06,COMPLETE
24,A_PARTLYSUBMITTED,112,2021-01-01 09:19:06,COMPLETE
11,A_ACCEPTED,10932,2021-01-01 09:19:42,COMPLETE
25,A_SUBMITTED,112,2021-01-01 09:40:00,COMPLETE
25,A_PARTLYSUBMITTED,112,2021-01-01 09:40:00,COMPLETE
19,A_PREACCEPTED,112,2021-01-01 09:44:20,COMPLETE
17,A_DECLINED,112,2021-01-01 09:58:32,COMPLETE
26,A_SUBMITTED,112,2021-01-01 10:01:17,COMPLETE
